framework              , test                                                         , time    
reflex                 , avoidablePropagation                                         , 413.36  
reflex                 , broadPropagation                                             , 463.59  
reflex                 , deepPropagation                                              , 118.97  
reflex                 , diamond                                                      , 412.62  
reflex                 , mux                                                          , 413.88  
reflex                 , repeatedObservers                                            , 46.97   
reflex                 , triangle                                                     , 112.34  
reflex                 , unstable                                                     , 65.75   
reflex                 , molBench                                                     , 644.43  
reflex                 , createDataSignals                                            , 23.54   
reflex                 , createComputations0to1                                       , 11.33   
reflex                 , createComputations1to1                                       , 10.22   
reflex                 , createComputations2to1                                       , 11.89   
reflex                 , createComputations4to1                                       , 11.58   
reflex                 , createComputations1000to1                                    , 9.59    
reflex                 , createComputations1to2                                       , 14.31   
reflex                 , createComputations1to4                                       , 11.51   
reflex                 , createComputations1to8                                       , 7.51    
reflex                 , createComputations1to1000                                    , 9.06    
reflex                 , updateComputations1to1                                       , 13.32   
reflex                 , updateComputations2to1                                       , 10.14   
reflex                 , updateComputations4to1                                       , 9.16    
reflex                 , updateComputations1000to1                                    , 6.41    
reflex                 , updateComputations1to2                                       , 10.79   
reflex                 , updateComputations1to4                                       , 9.49    
reflex                 , updateComputations1to1000                                    , 6.27    
reflex                 , 10x5 - 2 sources - read 20% (simple component)               , 279.77  
reflex                 , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 227.70  
reflex                 , 1000x12 - 4 sources - dynamic (large web app)                , 391.49  
reflex                 , 1000x5 - 25 sources (wide dense)                             , 643.79  
reflex                 , 5x500 - 3 sources (deep)                                     , 246.17  
reflex                 , 100x15 - 6 sources - dynamic (very dynamic)                  , 405.17  
alien-signals          , avoidablePropagation                                         , 308.56  
alien-signals          , broadPropagation                                             , 250.57  
alien-signals          , deepPropagation                                              , 97.41   
alien-signals          , diamond                                                      , 256.33  
alien-signals          , mux                                                          , 277.90  
alien-signals          , repeatedObservers                                            , 45.24   
alien-signals          , triangle                                                     , 83.28   
alien-signals          , unstable                                                     , 56.44   
alien-signals          , molBench                                                     , 645.05  
alien-signals          , createDataSignals                                            , 83.20   
alien-signals          , createComputations0to1                                       , 122.14  
alien-signals          , createComputations1to1                                       , 86.43   
alien-signals          , createComputations2to1                                       , 100.57  
alien-signals          , createComputations4to1                                       , 86.33   
alien-signals          , createComputations1000to1                                    , 118.88  
alien-signals          , createComputations1to2                                       , 107.14  
alien-signals          , createComputations1to4                                       , 122.61  
alien-signals          , createComputations1to8                                       , 122.57  
alien-signals          , createComputations1to1000                                    , 99.86   
alien-signals          , updateComputations1to1                                       , 97.82   
alien-signals          , updateComputations2to1                                       , 84.98   
alien-signals          , updateComputations4to1                                       , 82.63   
alien-signals          , updateComputations1000to1                                    , 97.35   
alien-signals          , updateComputations1to2                                       , 77.99   
alien-signals          , updateComputations1to4                                       , 99.24   
alien-signals          , updateComputations1to1000                                    , 78.93   
alien-signals          , 10x5 - 2 sources - read 20% (simple component)               , 254.58  
alien-signals          , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 250.49  
alien-signals          , 1000x12 - 4 sources - dynamic (large web app)                , 425.32  
alien-signals          , 1000x5 - 25 sources (wide dense)                             , 621.75  
alien-signals          , 5x500 - 3 sources (deep)                                     , 247.98  
alien-signals          , 100x15 - 6 sources - dynamic (very dynamic)                  , 378.40  
Preact Signals         , avoidablePropagation                                         , 321.50  
Preact Signals         , broadPropagation                                             , 298.18  
Preact Signals         , deepPropagation                                              , 134.42  
Preact Signals         , diamond                                                      , 303.92  
Preact Signals         , mux                                                          , 310.65  
Preact Signals         , repeatedObservers                                            , 47.63   
Preact Signals         , triangle                                                     , 112.42  
Preact Signals         , unstable                                                     , 55.55   
Preact Signals         , molBench                                                     , 643.81  
Preact Signals         , createDataSignals                                            , 83.55   
Preact Signals         , createComputations0to1                                       , 78.98   
Preact Signals         , createComputations1to1                                       , 90.49   
Preact Signals         , createComputations2to1                                       , 85.76   
Preact Signals         , createComputations4to1                                       , 88.36   
