framework              , test                                                         , time    
reflex                 , avoidablePropagation                                         , 486.09  
reflex                 , broadPropagation                                             , 448.18  
reflex                 , deepPropagation                                              , 117.79  
reflex                 , diamond                                                      , 434.25  
reflex                 , mux                                                          , 414.78  
reflex                 , repeatedObservers                                            , 54.29   
reflex                 , triangle                                                     , 118.99  
reflex                 , unstable                                                     , 71.86   
reflex                 , molBench                                                     , 577.60  
reflex                 , createDataSignals                                            , 12.57   
reflex                 , createComputations0to1                                       , 9.41    
reflex                 , createComputations1to1                                       , 6.37    
reflex                 , createComputations2to1                                       , 10.10   
reflex                 , createComputations4to1                                       , 8.11    
reflex                 , createComputations1000to1                                    , 5.75    
reflex                 , createComputations1to2                                       , 6.76    
reflex                 , createComputations1to4                                       , 7.76    
reflex                 , createComputations1to8                                       , 5.21    
reflex                 , createComputations1to1000                                    , 6.75    
reflex                 , updateComputations1to1                                       , 8.92    
reflex                 , updateComputations2to1                                       , 8.89    
reflex                 , updateComputations4to1                                       , 6.88    
reflex                 , updateComputations1000to1                                    , 4.07    
reflex                 , updateComputations1to2                                       , 8.58    
reflex                 , updateComputations1to4                                       , 6.24    
reflex                 , updateComputations1to1000                                    , 4.28    
reflex                 , 10x5 - 2 sources - read 20% (simple component)               , 276.49  
reflex                 , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 216.57  
reflex                 , 1000x12 - 4 sources - dynamic (large web app)                , 396.18  
reflex                 , 1000x5 - 25 sources (wide dense)                             , 626.83  
reflex                 , 5x500 - 3 sources (deep)                                     , 272.30  
alien-signals          , avoidablePropagation                                         , 310.89  
alien-signals          , broadPropagation                                             , 232.04  
alien-signals          , deepPropagation                                              , 90.91   
alien-signals          , diamond                                                      , 267.48  
alien-signals          , mux                                                          , 265.08  
alien-signals          , repeatedObservers                                            , 45.58   
alien-signals          , triangle                                                     , 79.14   
alien-signals          , unstable                                                     , 60.11   
alien-signals          , molBench                                                     , 574.13  
alien-signals          , createDataSignals                                            , 80.47   
alien-signals          , createComputations0to1                                       , 41.39   
alien-signals          , createComputations1to1                                       , 87.36   
alien-signals          , createComputations2to1                                       , 42.76   
alien-signals          , createComputations4to1                                       , 53.20   
alien-signals          , createComputations1000to1                                    , 36.30   
alien-signals          , createComputations1to2                                       , 40.69   
alien-signals          , createComputations1to4                                       , 59.16   
alien-signals          , createComputations1to8                                       , 95.86   
alien-signals          , createComputations1to1000                                    , 99.45   
alien-signals          , updateComputations1to1                                       , 39.69   
alien-signals          , updateComputations2to1                                       , 80.83   
alien-signals          , updateComputations4to1                                       , 92.47   
alien-signals          , updateComputations1000to1                                    , 35.74   
alien-signals          , updateComputations1to2                                       , 94.86   
alien-signals          , updateComputations1to4                                       , 38.55   
alien-signals          , updateComputations1to1000                                    , 77.38   
alien-signals          , 10x5 - 2 sources - read 20% (simple component)               , 252.79  
alien-signals          , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 206.21  
alien-signals          , 1000x12 - 4 sources - dynamic (large web app)                , 393.62  
alien-signals          , 1000x5 - 25 sources (wide dense)                             , 579.53  
alien-signals          , 5x500 - 3 sources (deep)                                     , 184.89  
Preact Signals         , avoidablePropagation                                         , 387.06  
Preact Signals         , broadPropagation                                             , 279.30  
Preact Signals         , deepPropagation                                              , 129.72  
Preact Signals         , diamond                                                      , 363.68  
Preact Signals         , mux                                                          , 316.90  
Preact Signals         , repeatedObservers                                            , 47.18   
Preact Signals         , triangle                                                     , 112.59  
Preact Signals         , unstable                                                     , 58.46   
Preact Signals         , molBench                                                     , 571.26  
Preact Signals         , createDataSignals                                            , 85.30   
Preact Signals         , createComputations0to1                                       , 47.46   
Preact Signals         , createComputations1to1                                       , 112.19  
Preact Signals         , createComputations2to1                                       , 42.34   
Preact Signals         , createComputations4to1                                       , 49.71   
Preact Signals         , createComputations1000to1                                    , 81.95   
Preact Signals         , createComputations1to2                                       , 49.60   
Preact Signals         , createComputations1to4                                       , 94.12   
Preact Signals         , createComputations1to8                                       , 50.43   
Preact Signals         , createComputations1to1000                                    , 45.86   
Preact Signals         , updateComputations1to1                                       , 42.19   
Preact Signals         , updateComputations2to1                                       , 108.17  
Preact Signals         , updateComputations4to1                                       , 84.42   
Preact Signals         , updateComputations1000to1                                    , 105.87  
Preact Signals         , updateComputations1to2                                       , 86.43   
Preact Signals         , updateComputations1to4                                       , 85.19   
Preact Signals         , updateComputations1to1000                                    , 37.50   
Preact Signals         , 10x5 - 2 sources - read 20% (simple component)               , 354.22  
Preact Signals         , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 231.12  
Preact Signals         , 1000x12 - 4 sources - dynamic (large web app)                , 2687.75 
Preact Signals         , 1000x5 - 25 sources (wide dense)                             , 2611.64 
