framework              , test                                                         , time    
reflex                 , avoidablePropagation                                         , 483.88  
reflex                 , broadPropagation                                             , 458.87  
reflex                 , deepPropagation                                              , 113.40  
reflex                 , diamond                                                      , 460.87  
reflex                 , mux                                                          , 406.16  
reflex                 , repeatedObservers                                            , 52.16   
reflex                 , triangle                                                     , 115.81  
reflex                 , unstable                                                     , 71.19   
reflex                 , molBench                                                     , 577.82  
reflex                 , createDataSignals                                            , 11.57   
reflex                 , createComputations0to1                                       , 6.33    
reflex                 , createComputations1to1                                       , 5.72    
reflex                 , createComputations2to1                                       , 9.62    
reflex                 , createComputations4to1                                       , 7.88    
reflex                 , createComputations1000to1                                    , 5.49    
reflex                 , createComputations1to2                                       , 6.88    
reflex                 , createComputations1to4                                       , 7.60    
reflex                 , createComputations1to8                                       , 5.45    
reflex                 , createComputations1to1000                                    , 6.09    
reflex                 , updateComputations1to1                                       , 9.80    
reflex                 , updateComputations2to1                                       , 6.73    
reflex                 , updateComputations4to1                                       , 6.12    
reflex                 , updateComputations1000to1                                    , 3.80    
reflex                 , updateComputations1to2                                       , 7.15    
reflex                 , updateComputations1to4                                       , 6.09    
reflex                 , updateComputations1to1000                                    , 3.78    
reflex                 , 10x5 - 2 sources - read 20% (simple component)               , 272.08  
reflex                 , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 216.54  
reflex                 , 1000x12 - 4 sources - dynamic (large web app)                , 365.14  
reflex                 , 1000x5 - 25 sources (wide dense)                             , 632.34  
reflex                 , 5x500 - 3 sources (deep)                                     , 199.72  
alien-signals          , avoidablePropagation                                         , 316.82  
alien-signals          , broadPropagation                                             , 232.32  
alien-signals          , deepPropagation                                              , 90.28   
alien-signals          , diamond                                                      , 272.54  
alien-signals          , mux                                                          , 264.81  
alien-signals          , repeatedObservers                                            , 44.26   
alien-signals          , triangle                                                     , 83.20   
alien-signals          , unstable                                                     , 62.57   
alien-signals          , molBench                                                     , 575.10  
alien-signals          , createDataSignals                                            , 79.86   
alien-signals          , createComputations0to1                                       , 94.86   
alien-signals          , createComputations1to1                                       , 43.64   
alien-signals          , createComputations2to1                                       , 38.81   
alien-signals          , createComputations4to1                                       , 101.78  
alien-signals          , createComputations1000to1                                    , 76.58   
alien-signals          , createComputations1to2                                       , 79.86   
alien-signals          , createComputations1to4                                       , 80.95   
alien-signals          , createComputations1to8                                       , 43.39   
alien-signals          , createComputations1to1000                                    , 43.22   
alien-signals          , updateComputations1to1                                       , 49.62   
alien-signals          , updateComputations2to1                                       , 43.60   
alien-signals          , updateComputations4to1                                       , 77.26   
alien-signals          , updateComputations1000to1                                    , 35.30   
alien-signals          , updateComputations1to2                                       , 44.05   
alien-signals          , updateComputations1to4                                       , 48.19   
alien-signals          , updateComputations1to1000                                    , 76.47   
alien-signals          , 10x5 - 2 sources - read 20% (simple component)               , 257.35  
alien-signals          , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 248.17  
alien-signals          , 1000x12 - 4 sources - dynamic (large web app)                , 327.15  
