framework              , test                                                         , time    
reflex                 , avoidablePropagation                                         , 473.68  
reflex                 , broadPropagation                                             , 481.99  
reflex                 , deepPropagation                                              , 113.27  
reflex                 , diamond                                                      , 434.45  
reflex                 , mux                                                          , 432.62  
reflex                 , repeatedObservers                                            , 53.57   
reflex                 , triangle                                                     , 117.84  
reflex                 , unstable                                                     , 70.76   
reflex                 , molBench                                                     , 583.81  
reflex                 , createDataSignals                                            , 12.80   
reflex                 , createComputations0to1                                       , 6.26    
reflex                 , createComputations1to1                                       , 6.05    
reflex                 , createComputations2to1                                       , 9.31    
reflex                 , createComputations4to1                                       , 8.41    
reflex                 , createComputations1000to1                                    , 5.60    
reflex                 , createComputations1to2                                       , 7.56    
reflex                 , createComputations1to4                                       , 7.60    
reflex                 , createComputations1to8                                       , 4.54    
reflex                 , createComputations1to1000                                    , 6.39    
reflex                 , updateComputations1to1                                       , 8.58    
reflex                 , updateComputations2to1                                       , 7.37    
reflex                 , updateComputations4to1                                       , 6.63    
reflex                 , updateComputations1000to1                                    , 3.54    
reflex                 , updateComputations1to2                                       , 7.09    
reflex                 , updateComputations1to4                                       , 6.15    
reflex                 , updateComputations1to1000                                    , 4.06    
reflex                 , 200x6 - 2 sources (diamond shared deps)                      , 50.67   
reflex                 , 5000x2 - 1 sources (broad fan-out)                           , 367.87  
reflex                 , 1x2 - 5000 sources (many sources one sink)                   , 187.73  
reflex                 , 200x20 - 8 sources - dynamic - read 50% (conditional churn)  , 4584.09 
reflex                 , 300x10 - 4 sources (stable after recompute)                  , 486.40  
reflex                 , 500x8 - 4 sources (hot reads stable graph)                   , 3476.51 
reflex                 , 3000x6 - 2 sources - read 2% (broad invalidation sparse read , 55.23   
reflex                 , 1x3 - 2 sources (many observers)                             , 33.83   
reflex                 , 5x300 - 3 sources - dynamic (deep dynamic)                   , 263.52  
reflex                 , 10000x2 - 2 sources (ultra wide shallow)                     , 331.23  
reflex                 , 10x5 - 2 sources - read 20% (simple component)               , 319.90  
reflex                 , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 244.76  
reflex                 , 1000x12 - 4 sources - dynamic (large web app)                , 412.91  
reflex                 , 1000x5 - 25 sources (wide dense)                             , 613.36  
reflex                 , 5x500 - 3 sources (deep)                                     , 236.78  
alien-signals          , avoidablePropagation                                         , 333.53  
alien-signals          , broadPropagation                                             , 231.63  
alien-signals          , deepPropagation                                              , 92.12   
alien-signals          , diamond                                                      , 276.52  
alien-signals          , mux                                                          , 267.83  
alien-signals          , repeatedObservers                                            , 45.39   
alien-signals          , triangle                                                     , 86.93   
alien-signals          , unstable                                                     , 69.67   
alien-signals          , molBench                                                     , 583.22  
alien-signals          , createDataSignals                                            , 71.96   
alien-signals          , createComputations0to1                                       , 73.17   
alien-signals          , createComputations1to1                                       , 80.97   
alien-signals          , createComputations2to1                                       , 71.10   
alien-signals          , createComputations4to1                                       , 73.99   
alien-signals          , createComputations1000to1                                    , 70.40   
alien-signals          , createComputations1to2                                       , 73.60   
alien-signals          , createComputations1to4                                       , 75.20   
alien-signals          , createComputations1to8                                       , 73.39   
alien-signals          , createComputations1to1000                                    , 71.15   
alien-signals          , updateComputations1to1                                       , 72.59   
alien-signals          , updateComputations2to1                                       , 71.93   
alien-signals          , updateComputations4to1                                       , 68.82   
alien-signals          , updateComputations1000to1                                    , 69.76   
alien-signals          , updateComputations1to2                                       , 69.48   
alien-signals          , updateComputations1to4                                       , 71.86   
alien-signals          , updateComputations1to1000                                    , 73.00   
alien-signals          , 200x6 - 2 sources (diamond shared deps)                      , 102.11  
alien-signals          , 5000x2 - 1 sources (broad fan-out)                           , 295.86  
alien-signals          , 1x2 - 5000 sources (many sources one sink)                   , 227.01  
alien-signals          , 200x20 - 8 sources - dynamic - read 50% (conditional churn)  , 4898.77 
alien-signals          , 300x10 - 4 sources (stable after recompute)                  , 428.88  
alien-signals          , 500x8 - 4 sources (hot reads stable graph)                   , 3008.37 
alien-signals          , 3000x6 - 2 sources - read 2% (broad invalidation sparse read , 86.80   
alien-signals          , 1x3 - 2 sources (many observers)                             , 67.57   
alien-signals          , 5x300 - 3 sources - dynamic (deep dynamic)                   , 266.54  
alien-signals          , 10000x2 - 2 sources (ultra wide shallow)                     , 277.83  
alien-signals          , 10x5 - 2 sources - read 20% (simple component)               , 245.79  
alien-signals          , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 238.58  
alien-signals          , 1000x12 - 4 sources - dynamic (large web app)                , 416.21  
alien-signals          , 1000x5 - 25 sources (wide dense)                             , 667.48  
alien-signals          , 5x500 - 3 sources (deep)                                     , 213.38  
Preact Signals         , avoidablePropagation                                         , 401.83  
Preact Signals         , broadPropagation                                             , 280.11  
Preact Signals         , deepPropagation                                              , 130.87  
Preact Signals         , diamond                                                      , 361.77  
Preact Signals         , mux                                                          , 329.13  
Preact Signals         , repeatedObservers                                            , 50.64   
Preact Signals         , triangle                                                     , 112.25  
Preact Signals         , unstable                                                     , 64.98   
Preact Signals         , molBench                                                     , 572.15  
Preact Signals         , createDataSignals                                            , 68.41   
Preact Signals         , createComputations0to1                                       , 72.23   
Preact Signals         , createComputations1to1                                       , 75.86   
Preact Signals         , createComputations2to1                                       , 72.69   
Preact Signals         , createComputations4to1                                       , 71.20   
Preact Signals         , createComputations1000to1                                    , 65.92   
Preact Signals         , createComputations1to2                                       , 75.12   
Preact Signals         , createComputations1to4                                       , 74.57   
Preact Signals         , createComputations1to8                                       , 75.96   
Preact Signals         , createComputations1to1000                                    , 71.35   
Preact Signals         , updateComputations1to1                                       , 72.00   
Preact Signals         , updateComputations2to1                                       , 71.02   
Preact Signals         , updateComputations4to1                                       , 72.10   
Preact Signals         , updateComputations1000to1                                    , 67.49   
Preact Signals         , updateComputations1to2                                       , 72.38   
Preact Signals         , updateComputations1to4                                       , 70.35   
Preact Signals         , updateComputations1to1000                                    , 67.01   
Preact Signals         , 200x6 - 2 sources (diamond shared deps)                      , 259.72  
Preact Signals         , 5000x2 - 1 sources (broad fan-out)                           , 455.76  
Preact Signals         , 1x2 - 5000 sources (many sources one sink)                   , 198.59  
Preact Signals         , 200x20 - 8 sources - dynamic - read 50% (conditional churn)  , 7406.87 
Preact Signals         , 300x10 - 4 sources (stable after recompute)                  , 2159.02 
Preact Signals         , 500x8 - 4 sources (hot reads stable graph)                   , 23430.25
Preact Signals         , 3000x6 - 2 sources - read 2% (broad invalidation sparse read , 313.54  
