framework              , test                                                         , time    
reflex                 , avoidablePropagation                                         , 480.84  
reflex                 , broadPropagation                                             , 475.56  
reflex                 , deepPropagation                                              , 113.87  
reflex                 , diamond                                                      , 435.01  
reflex                 , mux                                                          , 438.17  
reflex                 , repeatedObservers                                            , 53.02   
reflex                 , triangle                                                     , 120.79  
reflex                 , unstable                                                     , 72.62   
reflex                 , molBench                                                     , 581.82  
reflex                 , createDataSignals                                            , 13.79   
reflex                 , createComputations0to1                                       , 5.92    
reflex                 , createComputations1to1                                       , 5.84    
reflex                 , createComputations2to1                                       , 10.85   
reflex                 , createComputations4to1                                       , 7.78    
reflex                 , createComputations1000to1                                    , 5.59    
reflex                 , createComputations1to2                                       , 12.41   
reflex                 , createComputations1to4                                       , 7.95    
reflex                 , createComputations1to8                                       , 4.91    
reflex                 , createComputations1to1000                                    , 6.66    
reflex                 , updateComputations1to1                                       , 8.78    
reflex                 , updateComputations2to1                                       , 6.84    
reflex                 , updateComputations4to1                                       , 5.87    
reflex                 , updateComputations1000to1                                    , 3.80    
reflex                 , updateComputations1to2                                       , 7.68    
reflex                 , updateComputations1to4                                       , 5.51    
reflex                 , updateComputations1to1000                                    , 3.82    
reflex                 , 200x6 - 2 sources (diamond shared deps)                      , 50.43   
reflex                 , 5000x2 - 1 sources (broad fan-out)                           , 365.88  
reflex                 , 1x2 - 5000 sources (many sources one sink)                   , 313.92  
reflex                 , 200x20 - 8 sources - dynamic - read 50% (conditional churn)  , 4420.62 
reflex                 , 300x10 - 4 sources (stable after recompute)                  , 477.31  
reflex                 , 500x8 - 4 sources (hot reads stable graph)                   , 3592.63 
reflex                 , 3000x6 - 2 sources - read 2% (broad invalidation sparse read , 51.39   
reflex                 , 1x3 - 2 sources (many observers)                             , 37.86   
reflex                 , 5x300 - 3 sources - dynamic (deep dynamic)                   , 269.46  
reflex                 , 10000x2 - 2 sources (ultra wide shallow)                     , 326.38  
reflex                 , 10x5 - 2 sources - read 20% (simple component)               , 320.31  
reflex                 , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 245.81  
reflex                 , 1000x12 - 4 sources - dynamic (large web app)                , 412.40  
reflex                 , 1000x5 - 25 sources (wide dense)                             , 613.56  
reflex                 , 5x500 - 3 sources (deep)                                     , 233.14  
alien-signals          , avoidablePropagation                                         , 340.09  
alien-signals          , broadPropagation                                             , 233.16  
alien-signals          , deepPropagation                                              , 91.75   
alien-signals          , diamond                                                      , 277.26  
alien-signals          , mux                                                          , 267.96  
alien-signals          , repeatedObservers                                            , 45.52   
alien-signals          , triangle                                                     , 83.21   
alien-signals          , unstable                                                     , 64.02   
alien-signals          , molBench                                                     , 579.51  
alien-signals          , createDataSignals                                            , 69.03   
alien-signals          , createComputations0to1                                       , 71.44   
alien-signals          , createComputations1to1                                       , 76.26   
alien-signals          , createComputations2to1                                       , 69.03   
alien-signals          , createComputations4to1                                       , 69.87   
alien-signals          , createComputations1000to1                                    , 66.70   
alien-signals          , createComputations1to2                                       , 70.69   
alien-signals          , createComputations1to4                                       , 70.98   
alien-signals          , createComputations1to8                                       , 68.95   
