framework              , test                                                         , time    
reflex                 , avoidablePropagation                                         , 431.25  
reflex                 , broadPropagation                                             , 459.49  
reflex                 , deepPropagation                                              , 119.36  
reflex                 , diamond                                                      , 408.24  
reflex                 , mux                                                          , 408.76  
reflex                 , repeatedObservers                                            , 45.86   
reflex                 , triangle                                                     , 107.64  
reflex                 , unstable                                                     , 63.44   
reflex                 , molBench                                                     , 639.78  
reflex                 , createDataSignals                                            , 13.03   
reflex                 , createComputations0to1                                       , 6.61    
reflex                 , createComputations1to1                                       , 6.21    
reflex                 , createComputations2to1                                       , 9.93    
reflex                 , createComputations4to1                                       , 8.57    
reflex                 , createComputations1000to1                                    , 5.67    
reflex                 , createComputations1to2                                       , 7.01    
reflex                 , createComputations1to4                                       , 7.84    
reflex                 , createComputations1to8                                       , 4.62    
reflex                 , createComputations1to1000                                    , 6.37    
reflex                 , updateComputations1to1                                       , 8.25    
reflex                 , updateComputations2to1                                       , 8.25    
reflex                 , updateComputations4to1                                       , 6.45    
reflex                 , updateComputations1000to1                                    , 3.70    
reflex                 , updateComputations1to2                                       , 6.83    
reflex                 , updateComputations1to4                                       , 6.21    
reflex                 , updateComputations1to1000                                    , 3.77    
reflex                 , 10x5 - 2 sources - read 20% (simple component)               , 262.46  
reflex                 , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 226.24  
reflex                 , 1000x12 - 4 sources - dynamic (large web app)                , 369.94  
reflex                 , 1000x5 - 25 sources (wide dense)                             , 660.28  
reflex                 , 5x500 - 3 sources (deep)                                     , 202.28  
alien-signals          , avoidablePropagation                                         , 307.28  
alien-signals          , broadPropagation                                             , 251.80  
alien-signals          , deepPropagation                                              , 93.19   
alien-signals          , diamond                                                      , 243.38  
alien-signals          , mux                                                          , 272.73  
alien-signals          , repeatedObservers                                            , 39.53   
alien-signals          , triangle                                                     , 77.23   
alien-signals          , unstable                                                     , 55.34   
alien-signals          , molBench                                                     , 640.05  
alien-signals          , createDataSignals                                            , 108.25  
alien-signals          , createComputations0to1                                       , 41.43   
alien-signals          , createComputations1to1                                       , 115.86  
alien-signals          , createComputations2to1                                       , 44.22   
alien-signals          , createComputations4to1                                       , 88.29   
alien-signals          , createComputations1000to1                                    , 38.01   
alien-signals          , createComputations1to2                                       , 88.26   
alien-signals          , createComputations1to4                                       , 89.63   
alien-signals          , createComputations1to8                                       , 44.54   
alien-signals          , createComputations1to1000                                    , 108.39  
alien-signals          , updateComputations1to1                                       , 87.66   
alien-signals          , updateComputations2to1                                       , 86.54   
alien-signals          , updateComputations4to1                                       , 84.71   
alien-signals          , updateComputations1000to1                                    , 46.95   
alien-signals          , updateComputations1to2                                       , 86.19   
alien-signals          , updateComputations1to4                                       , 84.23   
alien-signals          , updateComputations1to1000                                    , 81.64   
alien-signals          , 10x5 - 2 sources - read 20% (simple component)               , 257.16  
alien-signals          , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 206.17  
alien-signals          , 1000x12 - 4 sources - dynamic (large web app)                , 382.56  
alien-signals          , 1000x5 - 25 sources (wide dense)                             , 612.95  
alien-signals          , 5x500 - 3 sources (deep)                                     , 230.28  
Preact Signals         , avoidablePropagation                                         , 323.53  
Preact Signals         , broadPropagation                                             , 291.16  
Preact Signals         , deepPropagation                                              , 132.71  
Preact Signals         , diamond                                                      , 315.22  
Preact Signals         , mux                                                          , 328.66  
Preact Signals         , repeatedObservers                                            , 41.14   
Preact Signals         , triangle                                                     , 107.26  
Preact Signals         , unstable                                                     , 55.10   
Preact Signals         , molBench                                                     , 636.99  
Preact Signals         , createDataSignals                                            , 45.08   
Preact Signals         , createComputations0to1                                       , 40.08   
Preact Signals         , createComputations1to1                                       , 56.06   
Preact Signals         , createComputations2to1                                       , 111.54  
Preact Signals         , createComputations4to1                                       , 56.75   
Preact Signals         , createComputations1000to1                                    , 38.86   
Preact Signals         , createComputations1to2                                       , 95.36   
Preact Signals         , createComputations1to4                                       , 92.72   
Preact Signals         , createComputations1to8                                       , 48.93   
Preact Signals         , createComputations1to1000                                    , 40.35   
Preact Signals         , updateComputations1to1                                       , 90.82   
Preact Signals         , updateComputations2to1                                       , 85.59   
Preact Signals         , updateComputations4to1                                       , 107.59  
Preact Signals         , updateComputations1000to1                                    , 84.71   
Preact Signals         , updateComputations1to2                                       , 43.26   
Preact Signals         , updateComputations1to4                                       , 86.47   
Preact Signals         , updateComputations1to1000                                    , 85.41   
Preact Signals         , 10x5 - 2 sources - read 20% (simple component)               , 329.42  
Preact Signals         , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 251.11  
Preact Signals         , 1000x12 - 4 sources - dynamic (large web app)                , 3118.41 
Preact Signals         , 1000x5 - 25 sources (wide dense)                             , 2965.56 
Preact Signals         , 5x500 - 3 sources (deep)                                     , 235.83  
TC39 Signals Polyfill  , avoidablePropagation                                         , 1318.78 
TC39 Signals Polyfill  , broadPropagation                                             , 1223.90 
TC39 Signals Polyfill  , deepPropagation                                              , 427.91  
TC39 Signals Polyfill  , diamond                                                      , 1194.71 
TC39 Signals Polyfill  , mux                                                          , 880.16  
TC39 Signals Polyfill  , repeatedObservers                                            , 332.67  
TC39 Signals Polyfill  , triangle                                                     , 407.48  
TC39 Signals Polyfill  , unstable                                                     , 901.85  
TC39 Signals Polyfill  , molBench                                                     , 711.33  
TC39 Signals Polyfill  , createDataSignals                                            , 125.48  
TC39 Signals Polyfill  , createComputations0to1                                       , 112.66  
TC39 Signals Polyfill  , createComputations1to1                                       , 71.13   
TC39 Signals Polyfill  , createComputations2to1                                       , 61.93   
TC39 Signals Polyfill  , createComputations4to1                                       , 59.56   
TC39 Signals Polyfill  , createComputations1000to1                                    , 50.72   
TC39 Signals Polyfill  , createComputations1to2                                       , 62.86   
TC39 Signals Polyfill  , createComputations1to4                                       , 69.80   
TC39 Signals Polyfill  , createComputations1to8                                       , 61.38   
TC39 Signals Polyfill  , createComputations1to1000                                    , 75.46   
TC39 Signals Polyfill  , updateComputations1to1                                       , 68.27   
TC39 Signals Polyfill  , updateComputations2to1                                       , 55.06   
TC39 Signals Polyfill  , updateComputations4to1                                       , 50.93   
TC39 Signals Polyfill  , updateComputations1000to1                                    , 46.22   
TC39 Signals Polyfill  , updateComputations1to2                                       , 70.22   
TC39 Signals Polyfill  , updateComputations1to4                                       , 51.25   
TC39 Signals Polyfill  , updateComputations1to1000                                    , 42.00   
TC39 Signals Polyfill  , 10x5 - 2 sources - read 20% (simple component)               , 1612.67 
TC39 Signals Polyfill  , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 790.81  
TC39 Signals Polyfill  , 1000x12 - 4 sources - dynamic (large web app)                , 17235.52
TC39 Signals Polyfill  , 1000x5 - 25 sources (wide dense)                             , 11004.10
TC39 Signals Polyfill  , 5x500 - 3 sources (deep)                                     , 634.26  
@reactively            , avoidablePropagation                                         , 445.69  
@reactively            , broadPropagation                                             , 411.13  
@reactively            , deepPropagation                                              , 166.70  
@reactively            , diamond                                                      , 355.08  
@reactively            , mux                                                          , 334.54  
@reactively            , repeatedObservers                                            , 87.94   
@reactively            , triangle                                                     , 109.52  
@reactively            , unstable                                                     , 180.07  
@reactively            , molBench                                                     , 641.23  
@reactively            , createDataSignals                                            , 51.93   
@reactively            , createComputations0to1                                       , 51.07   
@reactively            , createComputations1to1                                       , 55.11   
@reactively            , createComputations2to1                                       , 50.77   
