framework              , test                                                         , time    
reflex                 , avoidablePropagation                                         , 497.07  
reflex                 , broadPropagation                                             , 506.06  
reflex                 , deepPropagation                                              , 113.59  
reflex                 , diamond                                                      , 449.69  
reflex                 , mux                                                          , 398.70  
reflex                 , repeatedObservers                                            , 49.76   
reflex                 , triangle                                                     , 123.00  
reflex                 , unstable                                                     , 71.22   
reflex                 , molBench                                                     , 581.53  
reflex                 , createDataSignals                                            , 8.12    
reflex                 , createComputations0to1                                       , 5.12    
reflex                 , createComputations1to1                                       , 8.32    
reflex                 , createComputations2to1                                       , 5.41    
reflex                 , createComputations4to1                                       , 8.32    
reflex                 , createComputations1000to1                                    , 4.65    
reflex                 , createComputations1to2                                       , 6.33    
reflex                 , createComputations1to4                                       , 6.73    
reflex                 , createComputations1to8                                       , 5.09    
reflex                 , createComputations1to1000                                    , 6.27    
reflex                 , updateComputations1to1                                       , 8.07    
reflex                 , updateComputations2to1                                       , 6.68    
reflex                 , updateComputations4to1                                       , 5.14    
reflex                 , updateComputations1000to1                                    , 4.32    
reflex                 , updateComputations1to2                                       , 7.59    
reflex                 , updateComputations1to4                                       , 5.54    
reflex                 , updateComputations1to1000                                    , 2.90    
reflex                 , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 363.58  
reflex                 , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 555.10  
reflex                 , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 291.14  
reflex                 , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 532.43  
reflex                 , 10x5 - 2 sources - read 20% (simple component)               , 403.95  
reflex                 , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 234.24  
reflex                 , 1000x12 - 4 sources - dynamic (large web app)                , 407.33  
reflex                 , 1000x5 - 25 sources (wide dense)                             , 586.98  
reflex                 , 5x500 - 3 sources (deep)                                     , 219.65  
alien-signals          , avoidablePropagation                                         , 325.72  
alien-signals          , broadPropagation                                             , 229.68  
alien-signals          , deepPropagation                                              , 90.39   
alien-signals          , diamond                                                      , 267.91  
alien-signals          , mux                                                          , 265.17  
alien-signals          , repeatedObservers                                            , 45.49   
alien-signals          , triangle                                                     , 84.98   
alien-signals          , unstable                                                     , 58.76   
alien-signals          , molBench                                                     , 572.28  
alien-signals          , createDataSignals                                            , 65.90   
alien-signals          , createComputations0to1                                       , 62.34   
alien-signals          , createComputations1to1                                       , 99.94   
alien-signals          , createComputations2to1                                       , 47.32   
alien-signals          , createComputations4to1                                       , 98.51   
alien-signals          , createComputations1000to1                                    , 52.11   
alien-signals          , createComputations1to2                                       , 61.47   
alien-signals          , createComputations1to4                                       , 64.10   
alien-signals          , createComputations1to8                                       , 61.92   
alien-signals          , createComputations1to1000                                    , 64.54   
alien-signals          , updateComputations1to1                                       , 56.37   
alien-signals          , updateComputations2to1                                       , 97.10   
alien-signals          , updateComputations4to1                                       , 48.24   
alien-signals          , updateComputations1000to1                                    , 134.40  
alien-signals          , updateComputations1to2                                       , 95.87   
alien-signals          , updateComputations1to4                                       , 58.94   
alien-signals          , updateComputations1to1000                                    , 97.15   
alien-signals          , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 329.12  
alien-signals          , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 510.05  
alien-signals          , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 297.38  
alien-signals          , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 533.13  
alien-signals          , 10x5 - 2 sources - read 20% (simple component)               , 255.04  
alien-signals          , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 216.61  
alien-signals          , 1000x12 - 4 sources - dynamic (large web app)                , 325.45  
alien-signals          , 1000x5 - 25 sources (wide dense)                             , 589.53  
alien-signals          , 5x500 - 3 sources (deep)                                     , 190.12  
Preact Signals         , avoidablePropagation                                         , 415.13  
Preact Signals         , broadPropagation                                             , 294.28  
Preact Signals         , deepPropagation                                              , 139.27  
Preact Signals         , diamond                                                      , 389.48  
Preact Signals         , mux                                                          , 306.58  
Preact Signals         , repeatedObservers                                            , 52.81   
Preact Signals         , triangle                                                     , 123.28  
Preact Signals         , unstable                                                     , 62.86   
Preact Signals         , molBench                                                     , 572.63  
Preact Signals         , createDataSignals                                            , 61.42   
Preact Signals         , createComputations0to1                                       , 99.73   
Preact Signals         , createComputations1to1                                       , 104.02  
Preact Signals         , createComputations2to1                                       , 55.12   
Preact Signals         , createComputations4to1                                       , 59.94   
Preact Signals         , createComputations1000to1                                    , 59.47   
Preact Signals         , createComputations1to2                                       , 102.65  
Preact Signals         , createComputations1to4                                       , 51.78   
Preact Signals         , createComputations1to8                                       , 57.09   
Preact Signals         , createComputations1to1000                                    , 65.68   
Preact Signals         , updateComputations1to1                                       , 66.00   
Preact Signals         , updateComputations2to1                                       , 152.99  
Preact Signals         , updateComputations4to1                                       , 152.57  
Preact Signals         , updateComputations1000to1                                    , 54.78   
Preact Signals         , updateComputations1to2                                       , 62.49   
Preact Signals         , updateComputations1to4                                       , 98.64   
Preact Signals         , updateComputations1to1000                                    , 59.01   
Preact Signals         , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 865.30  
Preact Signals         , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 742.52  
Preact Signals         , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 870.04  
Preact Signals         , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 693.52  
Preact Signals         , 10x5 - 2 sources - read 20% (simple component)               , 481.95  
Preact Signals         , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 243.83  
Preact Signals         , 1000x12 - 4 sources - dynamic (large web app)                , 3626.74 
Preact Signals         , 1000x5 - 25 sources (wide dense)                             , 2341.09 
Preact Signals         , 5x500 - 3 sources (deep)                                     , 193.83  
@reactively            , avoidablePropagation                                         , 463.76  
@reactively            , broadPropagation                                             , 366.85  
@reactively            , deepPropagation                                              , 151.64  
@reactively            , diamond                                                      , 361.95  
@reactively            , mux                                                          , 308.80  
@reactively            , repeatedObservers                                            , 77.34   
@reactively            , triangle                                                     , 110.00  
@reactively            , unstable                                                     , 162.95  
@reactively            , molBench                                                     , 578.47  
@reactively            , createDataSignals                                            , 55.98   
@reactively            , createComputations0to1                                       , 157.92  
@reactively            , createComputations1to1                                       , 65.25   
@reactively            , createComputations2to1                                       , 59.77   
@reactively            , createComputations4to1                                       , 98.22   
@reactively            , createComputations1000to1                                    , 46.31   
@reactively            , createComputations1to2                                       , 54.28   
@reactively            , createComputations1to4                                       , 156.50  
@reactively            , createComputations1to8                                       , 70.60   
@reactively            , createComputations1to1000                                    , 59.76   
@reactively            , updateComputations1to1                                       , 48.34   
@reactively            , updateComputations2to1                                       , 98.56   
@reactively            , updateComputations4to1                                       , 54.44   
@reactively            , updateComputations1000to1                                    , 61.40   
@reactively            , updateComputations1to2                                       , 68.18   
@reactively            , updateComputations1to4                                       , 54.94   
@reactively            , updateComputations1to1000                                    , 95.35   
@reactively            , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 419.70  
@reactively            , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 643.79  
@reactively            , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 374.90  
@reactively            , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 647.82  
@reactively            , 10x5 - 2 sources - read 20% (simple component)               , 412.95  
@reactively            , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 265.81  
@reactively            , 1000x12 - 4 sources - dynamic (large web app)                , 437.07  
@reactively            , 1000x5 - 25 sources (wide dense)                             , 594.40  
@reactively            , 5x500 - 3 sources (deep)                                     , 253.42  
s-js                   , avoidablePropagation                                         , 519.87  
s-js                   , broadPropagation                                             , 281.45  
s-js                   , deepPropagation                                              , 96.91   
s-js                   , diamond                                                      , 362.41  
s-js                   , mux                                                          , 374.74  
s-js                   , repeatedObservers                                            , 102.76  
s-js                   , triangle                                                     , 112.00  
s-js                   , unstable                                                     , 116.90  
s-js                   , molBench                                                     , 904.28  
s-js                   , createDataSignals                                            , 155.86  
s-js                   , createComputations0to1                                       , 53.03   
s-js                   , createComputations1to1                                       , 62.65   
s-js                   , createComputations2to1                                       , 70.73   
s-js                   , createComputations4to1                                       , 68.17   
s-js                   , createComputations1000to1                                    , 65.55   
s-js                   , createComputations1to2                                       , 69.56   
s-js                   , createComputations1to4                                       , 64.30   
s-js                   , createComputations1to8                                       , 64.16   
s-js                   , createComputations1to1000                                    , 162.90  
s-js                   , updateComputations1to1                                       , 82.52   
s-js                   , updateComputations2to1                                       , 90.30   
s-js                   , updateComputations4to1                                       , 67.11   
s-js                   , updateComputations1000to1                                    , 71.34   
s-js                   , updateComputations1to2                                       , 105.60  
s-js                   , updateComputations1to4                                       , 96.26   
s-js                   , updateComputations1to1000                                    , 81.96   
