framework              , test                                                         , time    
reflex                 , avoidablePropagation                                         , 470.53  
reflex                 , broadPropagation                                             , 488.97  
reflex                 , deepPropagation                                              , 116.16  
reflex                 , diamond                                                      , 454.05  
reflex                 , mux                                                          , 415.94  
reflex                 , repeatedObservers                                            , 52.08   
reflex                 , triangle                                                     , 112.64  
reflex                 , unstable                                                     , 72.62   
reflex                 , molBench                                                     , 581.87  
reflex                 , createDataSignals                                            , 8.13    
reflex                 , createComputations0to1                                       , 4.81    
reflex                 , createComputations1to1                                       , 8.58    
reflex                 , createComputations2to1                                       , 5.27    
reflex                 , createComputations4to1                                       , 7.92    
reflex                 , createComputations1000to1                                    , 4.60    
reflex                 , createComputations1to2                                       , 5.82    
reflex                 , createComputations1to4                                       , 6.34    
reflex                 , createComputations1to8                                       , 3.91    
reflex                 , createComputations1to1000                                    , 5.88    
reflex                 , updateComputations1to1                                       , 7.36    
reflex                 , updateComputations2to1                                       , 6.34    
reflex                 , updateComputations4to1                                       , 5.71    
reflex                 , updateComputations1000to1                                    , 2.80    
reflex                 , updateComputations1to2                                       , 5.78    
reflex                 , updateComputations1to4                                       , 5.43    
reflex                 , updateComputations1to1000                                    , 3.10    
reflex                 , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 352.12  
reflex                 , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 549.59  
reflex                 , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 288.67  
reflex                 , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 554.44  
reflex                 , 10x5 - 2 sources - read 20% (simple component)               , 393.33  
reflex                 , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 233.47  
reflex                 , 1000x12 - 4 sources - dynamic (large web app)                , 388.65  
reflex                 , 1000x5 - 25 sources (wide dense)                             , 599.88  
reflex                 , 5x500 - 3 sources (deep)                                     , 218.69  
alien-signals          , avoidablePropagation                                         , 341.28  
alien-signals          , broadPropagation                                             , 230.88  
alien-signals          , deepPropagation                                              , 91.82   
alien-signals          , diamond                                                      , 273.73  
alien-signals          , mux                                                          , 265.03  
alien-signals          , repeatedObservers                                            , 42.41   
alien-signals          , triangle                                                     , 85.41   
alien-signals          , unstable                                                     , 60.42   
alien-signals          , molBench                                                     , 571.93  
alien-signals          , createDataSignals                                            , 140.63  
alien-signals          , createComputations0to1                                       , 100.63  
alien-signals          , createComputations1to1                                       , 98.97   
alien-signals          , createComputations2to1                                       , 60.60   
alien-signals          , createComputations4to1                                       , 100.65  
alien-signals          , createComputations1000to1                                    , 48.70   
alien-signals          , createComputations1to2                                       , 58.82   
alien-signals          , createComputations1to4                                       , 48.25   
alien-signals          , createComputations1to8                                       , 50.54   
alien-signals          , createComputations1to1000                                    , 48.92   
alien-signals          , updateComputations1to1                                       , 153.96  
alien-signals          , updateComputations2to1                                       , 66.31   
alien-signals          , updateComputations4to1                                       , 46.31   
alien-signals          , updateComputations1000to1                                    , 60.65   
alien-signals          , updateComputations1to2                                       , 66.73   
alien-signals          , updateComputations1to4                                       , 154.11  
alien-signals          , updateComputations1to1000                                    , 47.19   
alien-signals          , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 322.71  
