framework              , test                                                         , time    
reflex                 , avoidablePropagation                                         , 353.48  
reflex                 , broadPropagation                                             , 473.96  
reflex                 , deepPropagation                                              , 110.28  
reflex                 , diamond                                                      , 377.02  
reflex                 , mux                                                          , 382.64  
reflex                 , repeatedObservers                                            , 39.17   
reflex                 , triangle                                                     , 96.50   
reflex                 , unstable                                                     , 63.90   
reflex                 , molBench                                                     , 315.14  
reflex                 , createDataSignals                                            , 10.23   
reflex                 , createComputations0to1                                       , 5.36    
reflex                 , createComputations1to1                                       , 9.30    
reflex                 , createComputations2to1                                       , 8.71    
reflex                 , createComputations4to1                                       , 8.02    
reflex                 , createComputations1000to1                                    , 5.72    
reflex                 , createComputations1to2                                       , 8.22    
reflex                 , createComputations1to4                                       , 7.14    
reflex                 , createComputations1to8                                       , 4.29    
reflex                 , createComputations1to1000                                    , 7.97    
reflex                 , updateComputations1to1                                       , 6.45    
reflex                 , updateComputations2to1                                       , 7.25    
reflex                 , updateComputations4to1                                       , 5.48    
reflex                 , updateComputations1000to1                                    , 3.50    
reflex                 , updateComputations1to2                                       , 6.31    
reflex                 , updateComputations1to4                                       , 5.52    
reflex                 , updateComputations1to1000                                    , 3.39    
reflex                 , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 323.78  
reflex                 , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 515.88  
reflex                 , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 269.04  
reflex                 , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 490.80  
reflex                 , 32x8 - 4 sources - pull (pure pull)                          , 15.92   
reflex                 , 32x8 - 4 sources - push (pure push)                          , 140.98  
reflex                 , 10x5 - 2 sources - read 20% (simple component)               , 393.41  
reflex                 , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 206.65  
reflex                 , 1000x12 - 4 sources - dynamic (large web app)                , 301.03  
reflex                 , 1000x5 - 25 sources (wide dense)                             , 498.37  
reflex                 , 5x500 - 3 sources (deep)                                     , 220.84  
alien-signals          , avoidablePropagation                                         , 253.91  
alien-signals          , broadPropagation                                             , 208.93  
alien-signals          , deepPropagation                                              , 85.03   
alien-signals          , diamond                                                      , 221.77  
alien-signals          , mux                                                          , 258.38  
alien-signals          , repeatedObservers                                            , 37.50   
alien-signals          , triangle                                                     , 74.91   
alien-signals          , unstable                                                     , 64.88   
alien-signals          , molBench                                                     , 319.88  
alien-signals          , createDataSignals                                            , 53.04   
alien-signals          , createComputations0to1                                       , 91.30   
alien-signals          , createComputations1to1                                       , 57.55   
alien-signals          , createComputations2to1                                       , 63.38   
alien-signals          , createComputations4to1                                       , 67.14   
alien-signals          , createComputations1000to1                                    , 51.12   
alien-signals          , createComputations1to2                                       , 56.34   
alien-signals          , createComputations1to4                                       , 93.88   
alien-signals          , createComputations1to8                                       , 57.42   
alien-signals          , createComputations1to1000                                    , 90.67   
alien-signals          , updateComputations1to1                                       , 58.86   
alien-signals          , updateComputations2to1                                       , 50.46   
