framework              , test                                                         , time     , metrics                                                                                         
reflex                 , avoidablePropagation                                         , 282.34   ,                                                                                                 
reflex                 , broadPropagation                                             , 277.31   ,                                                                                                 
reflex                 , deepPropagation                                              , 102.14   ,                                                                                                 
reflex                 , diamond                                                      , 272.83   ,                                                                                                 
reflex                 , mux                                                          , 289.04   ,                                                                                                 
reflex                 , repeatedObservers                                            , 40.12    ,                                                                                                 
reflex                 , triangle                                                     , 77.41    ,                                                                                                 
reflex                 , unstable                                                     , 344.85   ,                                                                                                 
reflex                 , molBench                                                     , 308.38   ,                                                                                                 
reflex                 , createDataSignals                                            , 10.54    ,                                                                                                 
reflex                 , createComputations0to1                                       , 5.92     ,                                                                                                 
reflex                 , createComputations1to1                                       , 6.74     ,                                                                                                 
reflex                 , createComputations2to1                                       , 7.38     ,                                                                                                 
reflex                 , createComputations4to1                                       , 9.87     ,                                                                                                 
reflex                 , createComputations1000to1                                    , 5.85     ,                                                                                                 
reflex                 , createComputations1to2                                       , 9.60     ,                                                                                                 
reflex                 , createComputations1to4                                       , 6.64     ,                                                                                                 
reflex                 , createComputations1to8                                       , 5.06     ,                                                                                                 
reflex                 , createComputations1to1000                                    , 7.87     ,                                                                                                 
reflex                 , updateComputations1to1                                       , 8.40     ,                                                                                                 
reflex                 , updateComputations2to1                                       , 5.29     ,                                                                                                 
reflex                 , updateComputations4to1                                       , 4.31     ,                                                                                                 
reflex                 , updateComputations1000to1                                    , 3.32     ,                                                                                                 
reflex                 , updateComputations1to2                                       , 6.19     ,                                                                                                 
reflex                 , updateComputations1to4                                       , 4.44     ,                                                                                                 
reflex                 , updateComputations1to1000                                    , 3.46     ,                                                                                                 
reflex                 , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 317.37   , nodesRecomputed=2600782 nodesVisited=2600782 edgesTraversed=10403093 sinkReads=960008           
reflex                 , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 483.21   , nodesRecomputed=4616343 nodesVisited=4616343 edgesTraversed=13848923 sinkReads=900010           
reflex                 , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 260.89   , nodesRecomputed=1721063 nodesVisited=1721063 edgesTraversed=8605026 sinkReads=660022            
reflex                 , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 509.09   , nodesRecomputed=3885279 nodesVisited=3885279 edgesTraversed=15541047 sinkReads=720024           
reflex                 , 256->512x32 - fanIn 4 - layered-dag - 4 sources (layered ful , 80.71    , nodesRecomputed=249624 nodesVisited=249624 edgesTraversed=998496 sinkReads=61952                
reflex                 , 256->512x32 - fanIn 4 - layered-dag - 4 sources - warm 320 ( , 70.42    , nodesRecomputed=235200 nodesVisited=235200 edgesTraversed=940800 sinkReads=61952                
reflex                 , 256->512x32 - fanIn 8 - layered-dag - 8 sources - burst 16 - , 852.61   , nodesRecomputed=1529088 nodesVisited=1529088 edgesTraversed=12232704 sinkReads=49664            
reflex                 , 256->512x32 - fanIn 8 - diamond-mesh - 8 sources - warm 256  , 5.81     , nodesRecomputed=24576 nodesVisited=24576 edgesTraversed=196608 sinkReads=49664                  
reflex                 , 32x8 - 4 sources - pull (pure pull)                          , 6.28     , nodesRecomputed=224 nodesVisited=224 edgesTraversed=896 sinkReads=32                            
reflex                 , 32x8 - 4 sources - push (pure push)                          , 127.76   , nodesRecomputed=910133 nodesVisited=910133 edgesTraversed=3640532 sinkReads=220010              
reflex                 , 10x5 - 2 sources - read 20% (simple component)               , 272.79   , nodesRecomputed=3180010 nodesVisited=3180010 edgesTraversed=6360020 sinkReads=1200002           
reflex                 , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 185.93   , nodesRecomputed=1140004 nodesVisited=1140004 edgesTraversed=6839936 sinkReads=30002             
reflex                 , 1000x12 - 4 sources - dynamic (large web app)                , 302.67   , nodesRecomputed=1411327 nodesVisited=1411327 edgesTraversed=5639629 sinkReads=7001000           
reflex                 , 1000x5 - 25 sources (wide dense)                             , 506.71   , nodesRecomputed=735756 nodesVisited=735756 edgesTraversed=18393900 sinkReads=3001000            
reflex                 , 5x500 - 3 sources (deep)                                     , 170.61   , nodesRecomputed=1246502 nodesVisited=1246502 edgesTraversed=3739506 sinkReads=2505              
alien-signals          , avoidablePropagation                                         , 251.86   ,                                                                                                 
alien-signals          , broadPropagation                                             , 209.69   ,                                                                                                 
alien-signals          , deepPropagation                                              , 82.67    ,                                                                                                 
alien-signals          , diamond                                                      , 229.86   ,                                                                                                 
alien-signals          , mux                                                          , 257.42   ,                                                                                                 
alien-signals          , repeatedObservers                                            , 35.75    ,                                                                                                 
alien-signals          , triangle                                                     , 73.29    ,                                                                                                 
alien-signals          , unstable                                                     , 52.22    ,                                                                                                 
alien-signals          , molBench                                                     , 308.87   ,                                                                                                 
alien-signals          , createDataSignals                                            , 8.29     ,                                                                                                 
alien-signals          , createComputations0to1                                       , 8.10     ,                                                                                                 
alien-signals          , createComputations1to1                                       , 5.71     ,                                                                                                 
alien-signals          , createComputations2to1                                       , 8.07     ,                                                                                                 
alien-signals          , createComputations4to1                                       , 7.95     ,                                                                                                 
alien-signals          , createComputations1000to1                                    , 5.53     ,                                                                                                 
alien-signals          , createComputations1to2                                       , 9.63     ,                                                                                                 
alien-signals          , createComputations1to4                                       , 11.65    ,                                                                                                 
alien-signals          , createComputations1to8                                       , 8.95     ,                                                                                                 
alien-signals          , createComputations1to1000                                    , 9.10     ,                                                                                                 
alien-signals          , updateComputations1to1                                       , 8.25     ,                                                                                                 
alien-signals          , updateComputations2to1                                       , 6.33     ,                                                                                                 
alien-signals          , updateComputations4to1                                       , 5.16     ,                                                                                                 
alien-signals          , updateComputations1000to1                                    , 4.17     ,                                                                                                 
alien-signals          , updateComputations1to2                                       , 6.43     ,                                                                                                 
alien-signals          , updateComputations1to4                                       , 5.08     ,                                                                                                 
alien-signals          , updateComputations1to1000                                    , 4.19     ,                                                                                                 
alien-signals          , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 286.84   , nodesRecomputed=2642029 nodesVisited=2642029 edgesTraversed=10568081 sinkReads=960008           
alien-signals          , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 433.68   , nodesRecomputed=4736332 nodesVisited=4736332 edgesTraversed=14208887 sinkReads=900010           
alien-signals          , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 239.53   , nodesRecomputed=1765496 nodesVisited=1765496 edgesTraversed=8827231 sinkReads=660022            
alien-signals          , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 433.78   , nodesRecomputed=3984210 nodesVisited=3984210 edgesTraversed=15936789 sinkReads=720024           
alien-signals          , 256->512x32 - fanIn 4 - layered-dag - 4 sources (layered ful , 82.64    , nodesRecomputed=249624 nodesVisited=249624 edgesTraversed=998496 sinkReads=61952                
alien-signals          , 256->512x32 - fanIn 4 - layered-dag - 4 sources - warm 320 ( , 117.97   , nodesRecomputed=235200 nodesVisited=235200 edgesTraversed=940800 sinkReads=61952                
alien-signals          , 256->512x32 - fanIn 8 - layered-dag - 8 sources - burst 16 - , 940.93   , nodesRecomputed=1529088 nodesVisited=1529088 edgesTraversed=12232704 sinkReads=49664            
alien-signals          , 256->512x32 - fanIn 8 - diamond-mesh - 8 sources - warm 256  , 5.02     , nodesRecomputed=24576 nodesVisited=24576 edgesTraversed=196608 sinkReads=49664                  
alien-signals          , 32x8 - 4 sources - pull (pure pull)                          , 5.26     , nodesRecomputed=224 nodesVisited=224 edgesTraversed=896 sinkReads=32                            
alien-signals          , 32x8 - 4 sources - push (pure push)                          , 107.01   , nodesRecomputed=910133 nodesVisited=910133 edgesTraversed=3640532 sinkReads=220010              
