framework              , test                                                         , time     , metrics                                                                                         
reflex                 , avoidablePropagation                                         , 319.66   ,                                                                                                 
reflex                 , broadPropagation                                             , 272.39   ,                                                                                                 
reflex                 , deepPropagation                                              , 105.92   ,                                                                                                 
reflex                 , diamond                                                      , 272.32   ,                                                                                                 
reflex                 , mux                                                          , 290.81   ,                                                                                                 
reflex                 , repeatedObservers                                            , 38.18    ,                                                                                                 
reflex                 , triangle                                                     , 80.59    ,                                                                                                 
reflex                 , unstable                                                     , 44.60    ,                                                                                                 
reflex                 , molBench                                                     , 384.22   ,                                                                                                 
reflex                 , createDataSignals                                            , 8.37     ,                                                                                                 
reflex                 , createComputations0to1                                       , 5.59     ,                                                                                                 
reflex                 , createComputations1to1                                       , 5.12     ,                                                                                                 
reflex                 , createComputations2to1                                       , 5.92     ,                                                                                                 
reflex                 , createComputations4to1                                       , 7.58     ,                                                                                                 
reflex                 , createComputations1000to1                                    , 4.98     ,                                                                                                 
reflex                 , createComputations1to2                                       , 8.21     ,                                                                                                 
reflex                 , createComputations1to4                                       , 6.78     ,                                                                                                 
reflex                 , createComputations1to8                                       , 3.94     ,                                                                                                 
reflex                 , createComputations1to1000                                    , 5.28     ,                                                                                                 
reflex                 , updateComputations1to1                                       , 8.54     ,                                                                                                 
reflex                 , updateComputations2to1                                       , 5.14     ,                                                                                                 
reflex                 , updateComputations4to1                                       , 4.24     ,                                                                                                 
reflex                 , updateComputations1000to1                                    , 2.90     ,                                                                                                 
reflex                 , updateComputations1to2                                       , 6.66     ,                                                                                                 
reflex                 , updateComputations1to4                                       , 4.35     ,                                                                                                 
reflex                 , updateComputations1to1000                                    , 2.92     ,                                                                                                 
reflex                 , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 314.55   , nodesRecomputed=2642029 nodesVisited=2642029 edgesTraversed=10568081 sinkReads=960008           
reflex                 , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 486.44   , nodesRecomputed=4736332 nodesVisited=4736332 edgesTraversed=14208887 sinkReads=900010           
reflex                 , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 268.11   , nodesRecomputed=1765496 nodesVisited=1765496 edgesTraversed=8827231 sinkReads=660022            
reflex                 , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 544.66   , nodesRecomputed=3984210 nodesVisited=3984210 edgesTraversed=15936789 sinkReads=720024           
reflex                 , 256->512x32 - fanIn 4 - layered-dag - 4 sources (layered ful , 75.42    , nodesRecomputed=249624 nodesVisited=249624 edgesTraversed=998496 sinkReads=61952                
reflex                 , 256->512x32 - fanIn 4 - layered-dag - 4 sources - warm 320 ( , 61.91    , nodesRecomputed=235200 nodesVisited=235200 edgesTraversed=940800 sinkReads=61952                
reflex                 , 256->512x32 - fanIn 8 - layered-dag - 8 sources - burst 16 - , 783.54   , nodesRecomputed=1529088 nodesVisited=1529088 edgesTraversed=12232704 sinkReads=49664            
reflex                 , 256->512x32 - fanIn 8 - diamond-mesh - 8 sources - warm 256  , 6.01     , nodesRecomputed=24576 nodesVisited=24576 edgesTraversed=196608 sinkReads=49664                  
reflex                 , 32x8 - 4 sources - pull (pure pull)                          , 8.09     , nodesRecomputed=224 nodesVisited=224 edgesTraversed=896 sinkReads=32                            
reflex                 , 32x8 - 4 sources - push (pure push)                          , 134.05   , nodesRecomputed=910133 nodesVisited=910133 edgesTraversed=3640532 sinkReads=220010              
reflex                 , 10x5 - 2 sources - read 20% (simple component)               , 258.23   , nodesRecomputed=3180010 nodesVisited=3180010 edgesTraversed=6360020 sinkReads=1200002           
reflex                 , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 201.85   , nodesRecomputed=1140004 nodesVisited=1140004 edgesTraversed=6839936 sinkReads=30002             
reflex                 , 1000x12 - 4 sources - dynamic (large web app)                , 361.11   , nodesRecomputed=1473786 nodesVisited=1473786 edgesTraversed=5891713 sinkReads=7001000           
reflex                 , 1000x5 - 25 sources (wide dense)                             , 558.41   , nodesRecomputed=735756 nodesVisited=735756 edgesTraversed=18393900 sinkReads=3001000            
reflex                 , 5x500 - 3 sources (deep)                                     , 156.84   , nodesRecomputed=1246502 nodesVisited=1246502 edgesTraversed=3739506 sinkReads=2505              
alien-signals          , avoidablePropagation                                         , 307.61   ,                                                                                                 
alien-signals          , broadPropagation                                             , 251.70   ,                                                                                                 
alien-signals          , deepPropagation                                              , 92.32    ,                                                                                                 
alien-signals          , diamond                                                      , 252.93   ,                                                                                                 
