framework              , test                                                         , time     , p95      , p99      , cv       , group          , family                   , metrics                                                                                         
lite                   , avoidablePropagation                                         , 443.50   , 481.64   , 484.10   , 0.041    , baseline       , selective propagation    ,                                                                                                 
lite                   , broadPropagation                                             , 361.80   , 386.71   , 389.54   , 0.034    , baseline       , wide fan-out             ,                                                                                                 
lite                   , deepPropagation                                              , 164.42   , 172.71   , 175.85   , 0.022    , pull           , linear chain             ,                                                                                                 
lite                   , diamond                                                      , 350.99   , 371.94   , 381.82   , 0.029    , baseline       , diamond                  ,                                                                                                 
lite                   , mux                                                          , 340.10   , 381.95   , 401.64   , 0.057    , dynamic        , dynamic branch           ,                                                                                                 
lite                   , repeatedObservers                                            , 116.95   , 126.34   , 128.56   , 0.033    , baseline       , duplicate observer       ,                                                                                                 
lite                   , triangle                                                     , 138.33   , 154.25   , 160.72   , 0.052    , baseline       , glitch-free triangle     ,                                                                                                 
lite                   , unstable                                                     , 127.87   , 138.69   , 141.43   , 0.036    , dynamic        , dynamic dependency churn ,                                                                                                 
lite                   , manyEffectsFromOneSource                                     , 232.97   , 251.43   , 261.38   , 0.039    , push           , wide fan-out             , checksum=180075672000                                                                           
lite                   , manySourcesIntoOneComputedEffectWithDirect                   , 158.22   , 168.02   , 171.11   , 0.027    , pull           , wide fan-in              , checksum=1372929289844                                                                          
lite                   , manySourcesIntoOneComputedEffect                             , 151.22   , 160.73   , 163.68   , 0.028    , pull           , wide fan-in              , checksum=1331323690944                                                                          
lite                   , manySourcesIntoOneDirectEffect                               , 68.54    , 79.30    , 82.33    , 0.065    , pull           , wide fan-in              , checksum=41605598900                                                                            
lite                   , molBench                                                     , 389.36   , 392.61   , 392.95   , 0.012    , dynamic        , mixed app graph          ,                                                                                                 
lite                   , createDataSignals                                            , 13.25    , 17.35    , 17.42    , 0.158    , creation       , signal creation          ,                                                                                                 
lite                   , createComputations0to1                                       , 20.14    , 99.97    , 108.77   , 0.893    , creation       , computed creation        ,                                                                                                 
lite                   , createComputations1to1                                       , 37.06    , 53.27    , 53.42    , 0.352    , creation       , computed creation        ,                                                                                                 
lite                   , createComputations2to1                                       , 28.66    , 41.95    , 42.93    , 0.437    , creation       , computed creation        ,                                                                                                 
lite                   , createComputations4to1                                       , 21.78    , 25.34    , 25.43    , 0.471    , creation       , computed creation        ,                                                                                                 
lite                   , createComputations1000to1                                    , 0.15     , 0.17     , 0.17     , 0.124    , creation       , computed creation        ,                                                                                                 
lite                   , createComputations1to2                                       , 29.91    , 294.43   , 359.10   , 1.359    , creation       , computed creation        ,                                                                                                 
lite                   , createComputations1to4                                       , 28.39    , 80.64    , 97.30    , 0.699    , creation       , computed creation        ,                                                                                                 
lite                   , createComputations1to8                                       , 51.02    , 178.40   , 199.47   , 0.844    , creation       , computed creation        ,                                                                                                 
lite                   , createComputations1to1000                                    , 25.68    , 93.69    , 100.42   , 0.750    , creation       , computed creation        ,                                                                                                 
lite                   , updateComputations1to1                                       , 5.54     , 7.48     , 7.55     , 0.140    , update         , stable update            ,                                                                                                 
lite                   , updateComputations2to1                                       , 3.60     , 4.86     , 5.03     , 0.138    , update         , stable update            ,                                                                                                 
lite                   , updateComputations4to1                                       , 3.22     , 4.27     , 4.33     , 0.261    , update         , stable update            ,                                                                                                 
lite                   , updateComputations1000to1                                    , 0.13     , 0.23     , 0.26     , 0.420    , update         , stable update            ,                                                                                                 
lite                   , updateComputations1to2                                       , 3.71     , 4.64     , 4.70     , 0.103    , update         , stable update            ,                                                                                                 
lite                   , updateComputations1to4                                       , 3.51     , 4.25     , 4.26     , 0.210    , update         , stable update            ,                                                                                                 
lite                   , updateComputations1to1000                                    , 0.05     , 0.44     , 0.56     , 1.398    , update         , stable update            ,                                                                                                 
lite                   , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 878.11   , 899.36   , 906.19   , 0.012    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=2642029 nodesVisited=2642029 edgesTraversed=10568081 sinkReads=960008           
lite                   , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 788.29   , 793.39   , 793.97   , 0.007    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=4736332 nodesVisited=4736332 edgesTraversed=14208887 sinkReads=900010           
lite                   , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 898.64   , 911.08   , 911.73   , 0.008    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1765496 nodesVisited=1765496 edgesTraversed=8827231 sinkReads=660022            
lite                   , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 811.47   , 814.27   , 814.31   , 0.005    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=3984210 nodesVisited=3984210 edgesTraversed=15936789 sinkReads=720024           
lite                   , 256->512x32 - fanIn 4 - layered-dag - 4 sources (layered ful , 201.75   , 245.50   , 247.91   , 0.167    , large_graph    , layered DAG              , nodesRecomputed=249624 nodesVisited=249624 edgesTraversed=998496 sinkReads=61952                
lite                   , 256->512x32 - fanIn 4 - layered-dag - 4 sources - warm 320 ( , 165.39   , 186.36   , 188.10   , 0.074    , large_graph    , layered DAG              , nodesRecomputed=235200 nodesVisited=235200 edgesTraversed=940800 sinkReads=61952                
lite                   , 256->512x32 - fanIn 8 - layered-dag - 8 sources - burst 16 - , 1127.27  , 1741.33  , 1932.57  , 0.244    , large_graph    , layered DAG              , nodesRecomputed=1529088 nodesVisited=1529088 edgesTraversed=12232704 sinkReads=49664            
lite                   , 256->512x32 - fanIn 8 - diamond-mesh - 8 sources - warm 256  , 59.81    , 61.52    , 61.58    , 0.015    , large_graph    , diamond mesh             , nodesRecomputed=24576 nodesVisited=24576 edgesTraversed=196608 sinkReads=49664                  
lite                   , 32x8 - 4 sources - pull (pure pull)                          , 43.44    , 78.72    , 82.02    , 0.296    , pull           , stable rectangular DAG   , nodesRecomputed=224 nodesVisited=224 edgesTraversed=896 sinkReads=32                            
lite                   , 8x64 - 1 sources - pull (linear chain - 1 source - pull (lin , 40.39    , 71.85    , 78.08    , 0.292    , pull           , stable rectangular DAG   , nodesRecomputed=504 nodesVisited=504 edgesTraversed=504 sinkReads=8                             
lite                   , 64x4 - 8 sources - pull (wide tree - 8 sources - pull (branc , 41.54    , 71.41    , 78.82    , 0.296    , pull           , stable rectangular DAG   , nodesRecomputed=192 nodesVisited=192 edgesTraversed=1536 sinkReads=64                           
lite                   , 32x8 - 4 sources - push (pure push)                          , 207.23   , 211.48   , 211.65   , 0.014    , pull           , stable rectangular DAG   , nodesRecomputed=910133 nodesVisited=910133 edgesTraversed=3640532 sinkReads=220010              
lite                   , 10x5 - 2 sources - read 20% (simple component)               , 356.91   , 359.17   , 359.25   , 0.006    , pull           , stable rectangular DAG   , nodesRecomputed=3180010 nodesVisited=3180010 edgesTraversed=6360020 sinkReads=1200002           
lite                   , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 242.15   , 243.95   , 244.21   , 0.004    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1140004 nodesVisited=1140004 edgesTraversed=6839936 sinkReads=30002             
