framework              , test                                                         , time     , p95      , p99      , cv       , group          , family                   , metrics                                                                                         
lite                   , avoidablePropagation                                         , 502.37   , 502.37   , 502.37   , 0.000    , baseline       , selective propagation    ,                                                                                                 
lite                   , broadPropagation                                             , 369.15   , 369.15   , 369.15   , 0.000    , baseline       , wide fan-out             ,                                                                                                 
lite                   , deepPropagation                                              , 171.55   , 171.55   , 171.55   , 0.000    , pull           , linear chain             ,                                                                                                 
lite                   , diamond                                                      , 389.61   , 389.61   , 389.61   , 0.000    , baseline       , diamond                  ,                                                                                                 
lite                   , mux                                                          , 401.03   , 401.03   , 401.03   , 0.000    , dynamic        , dynamic branch           ,                                                                                                 
lite                   , repeatedObservers                                            , 129.84   , 129.84   , 129.84   , 0.000    , baseline       , duplicate observer       ,                                                                                                 
lite                   , triangle                                                     , 161.17   , 161.17   , 161.17   , 0.000    , baseline       , glitch-free triangle     ,                                                                                                 
lite                   , unstable                                                     , 139.61   , 139.61   , 139.61   , 0.000    , dynamic        , dynamic dependency churn ,                                                                                                 
lite                   , manyEffectsFromOneSource                                     , 273.03   , 273.03   , 273.03   , 0.000    , push           , wide fan-out             , checksum=180075672000                                                                           
lite                   , manySourcesIntoOneComputedEffectWithDirect                   , 173.97   , 173.97   , 173.97   , 0.000    , pull           , wide fan-in              , checksum=1372929289844                                                                          
lite                   , manySourcesIntoOneComputedEffect                             , 168.24   , 168.24   , 168.24   , 0.000    , pull           , wide fan-in              , checksum=1331323690944                                                                          
lite                   , manySourcesIntoOneDirectEffect                               , 85.22    , 85.22    , 85.22    , 0.000    , pull           , wide fan-in              , checksum=41605598900                                                                            
lite                   , molBench                                                     , 448.99   , 448.99   , 448.99   , 0.000    , dynamic        , mixed app graph          ,                                                                                                 
lite                   , createDataSignals                                            , 13.59    , 13.59    , 13.59    , 0.000    , creation       , signal creation          ,                                                                                                 
lite                   , createComputations0to1                                       , 26.91    , 26.91    , 26.91    , 0.000    , creation       , computed creation        ,                                                                                                 
lite                   , createComputations1to1                                       , 16.19    , 16.19    , 16.19    , 0.000    , creation       , computed creation        ,                                                                                                 
lite                   , createComputations2to1                                       , 14.30    , 14.30    , 14.30    , 0.000    , creation       , computed creation        ,                                                                                                 
lite                   , createComputations4to1                                       , 12.37    , 12.37    , 12.37    , 0.000    , creation       , computed creation        ,                                                                                                 
lite                   , createComputations1000to1                                    , 0.16     , 0.16     , 0.16     , 0.000    , creation       , computed creation        ,                                                                                                 
lite                   , createComputations1to2                                       , 55.61    , 55.61    , 55.61    , 0.000    , creation       , computed creation        ,                                                                                                 
lite                   , createComputations1to4                                       , 28.70    , 28.70    , 28.70    , 0.000    , creation       , computed creation        ,                                                                                                 
lite                   , createComputations1to8                                       , 47.21    , 47.21    , 47.21    , 0.000    , creation       , computed creation        ,                                                                                                 
lite                   , createComputations1to1000                                    , 16.84    , 16.84    , 16.84    , 0.000    , creation       , computed creation        ,                                                                                                 
lite                   , updateComputations1to1                                       , 5.15     , 5.15     , 5.15     , 0.000    , update         , stable update            ,                                                                                                 
lite                   , updateComputations2to1                                       , 4.47     , 4.47     , 4.47     , 0.000    , update         , stable update            ,                                                                                                 
lite                   , updateComputations4to1                                       , 3.35     , 3.35     , 3.35     , 0.000    , update         , stable update            ,                                                                                                 
lite                   , updateComputations1000to1                                    , 0.32     , 0.32     , 0.32     , 0.000    , update         , stable update            ,                                                                                                 
lite                   , updateComputations1to2                                       , 6.68     , 6.68     , 6.68     , 0.000    , update         , stable update            ,                                                                                                 
lite                   , updateComputations1to4                                       , 4.19     , 4.19     , 4.19     , 0.000    , update         , stable update            ,                                                                                                 
lite                   , updateComputations1to1000                                    , 0.65     , 0.65     , 0.65     , 0.000    , update         , stable update            ,                                                                                                 
lite                   , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 888.89   , 888.89   , 888.89   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=2642029 nodesVisited=2642029 edgesTraversed=10568081 sinkReads=960008           
lite                   , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 755.51   , 755.51   , 755.51   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=4736332 nodesVisited=4736332 edgesTraversed=14208887 sinkReads=900010           
lite                   , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 902.13   , 902.13   , 902.13   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1765496 nodesVisited=1765496 edgesTraversed=8827231 sinkReads=660022            
lite                   , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 799.03   , 799.03   , 799.03   , 0.000    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=3984210 nodesVisited=3984210 edgesTraversed=15936789 sinkReads=720024           
lite                   , 256->512x32 - fanIn 4 - layered-dag - 4 sources (layered ful , 207.98   , 207.98   , 207.98   , 0.000    , large_graph    , layered DAG              , nodesRecomputed=249624 nodesVisited=249624 edgesTraversed=998496 sinkReads=61952                
lite                   , 256->512x32 - fanIn 4 - layered-dag - 4 sources - warm 320 ( , 193.83   , 193.83   , 193.83   , 0.000    , large_graph    , layered DAG              , nodesRecomputed=235200 nodesVisited=235200 edgesTraversed=940800 sinkReads=61952                
lite                   , 256->512x32 - fanIn 8 - layered-dag - 8 sources - burst 16 - , 1861.29  , 1861.29  , 1861.29  , 0.000    , large_graph    , layered DAG              , nodesRecomputed=1529088 nodesVisited=1529088 edgesTraversed=12232704 sinkReads=49664            
