framework              , test                                                         , time     , metrics                                                                                         
reflex                 , avoidablePropagation                                         , 1.07     ,                                                                                                 
reflex                 , broadPropagation                                             , 0.71     ,                                                                                                 
reflex                 , deepPropagation                                              , 0.25     ,                                                                                                 
reflex                 , diamond                                                      , 0.98     ,                                                                                                 
reflex                 , mux                                                          , 0.54     ,                                                                                                 
reflex                 , repeatedObservers                                            , 0.15     ,                                                                                                 
reflex                 , triangle                                                     , 0.26     ,                                                                                                 
reflex                 , unstable                                                     , 0.26     ,                                                                                                 
reflex                 , manyEffectsFromOneSource                                     , 250.00   ,                                                                                                 
reflex                 , manySourcesIntoOneComputedEffectWithDirect                   , 116.55   ,                                                                                                 
reflex                 , manySourcesIntoOneComputedEffect                             , 109.55   ,                                                                                                 
reflex                 , manySourcesIntoOneDirectEffect                               , 32.17    ,                                                                                                 
reflex                 , molBench                                                     , 0.09     ,                                                                                                 
reflex                 , createDataSignals                                            , 7.22     ,                                                                                                 
reflex                 , createComputations0to1                                       , 7.75     ,                                                                                                 
reflex                 , createComputations1to1                                       , 12.58    ,                                                                                                 
reflex                 , createComputations2to1                                       , 7.80     ,                                                                                                 
reflex                 , createComputations4to1                                       , 5.66     ,                                                                                                 
reflex                 , createComputations1000to1                                    , 0.03     ,                                                                                                 
reflex                 , createComputations1to2                                       , 8.78     ,                                                                                                 
reflex                 , createComputations1to4                                       , 8.68     ,                                                                                                 
reflex                 , createComputations1to8                                       , 9.64     ,                                                                                                 
reflex                 , createComputations1to1000                                    , 5.19     ,                                                                                                 
reflex                 , updateComputations1to1                                       , 6.55     ,                                                                                                 
reflex                 , updateComputations2to1                                       , 4.03     ,                                                                                                 
reflex                 , updateComputations4to1                                       , 2.66     ,                                                                                                 
reflex                 , updateComputations1000to1                                    , 0.04     ,                                                                                                 
reflex                 , updateComputations1to2                                       , 4.03     ,                                                                                                 
reflex                 , updateComputations1to4                                       , 2.70     ,                                                                                                 
reflex                 , updateComputations1to1000                                    , 0.12     ,                                                                                                 
reflex                 , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 292.40   , nodesRecomputed=2642029 nodesVisited=2642029 edgesTraversed=10568081 sinkReads=960008           
reflex                 , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 434.55   , nodesRecomputed=4736332 nodesVisited=4736332 edgesTraversed=14208887 sinkReads=900010           
reflex                 , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 241.02   , nodesRecomputed=1765496 nodesVisited=1765496 edgesTraversed=8827231 sinkReads=660022            
reflex                 , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 455.26   , nodesRecomputed=3984210 nodesVisited=3984210 edgesTraversed=15936789 sinkReads=720024           
reflex                 , 256->512x32 - fanIn 4 - layered-dag - 4 sources (layered ful , 80.53    , nodesRecomputed=249624 nodesVisited=249624 edgesTraversed=998496 sinkReads=61952                
reflex                 , 256->512x32 - fanIn 4 - layered-dag - 4 sources - warm 320 ( , 92.02    , nodesRecomputed=235200 nodesVisited=235200 edgesTraversed=940800 sinkReads=61952                
reflex                 , 256->512x32 - fanIn 8 - layered-dag - 8 sources - burst 16 - , 1158.81  , nodesRecomputed=1529088 nodesVisited=1529088 edgesTraversed=12232704 sinkReads=49664            
reflex                 , 256->512x32 - fanIn 8 - diamond-mesh - 8 sources - warm 256  , 8.57     , nodesRecomputed=24576 nodesVisited=24576 edgesTraversed=196608 sinkReads=49664                  
reflex                 , 32x8 - 4 sources - pull (pure pull)                          , 2.31     , nodesRecomputed=224 nodesVisited=224 edgesTraversed=896 sinkReads=32                            
reflex                 , 32x8 - 4 sources - push (pure push)                          , 114.97   , nodesRecomputed=910133 nodesVisited=910133 edgesTraversed=3640532 sinkReads=220010              
reflex                 , 10x5 - 2 sources - read 20% (simple component)               , 237.76   , nodesRecomputed=3180010 nodesVisited=3180010 edgesTraversed=6360020 sinkReads=1200002           
reflex                 , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 182.86   , nodesRecomputed=1140004 nodesVisited=1140004 edgesTraversed=6839936 sinkReads=30002             
reflex                 , 1000x12 - 4 sources - dynamic (large web app)                , 310.22   , nodesRecomputed=1473786 nodesVisited=1473786 edgesTraversed=5891713 sinkReads=7001000           
reflex                 , 1000x5 - 25 sources (wide dense)                             , 507.11   , nodesRecomputed=735756 nodesVisited=735756 edgesTraversed=18393900 sinkReads=3001000            
reflex                 , 5x500 - 3 sources (deep)                                     , 152.01   , nodesRecomputed=1246502 nodesVisited=1246502 edgesTraversed=3739506 sinkReads=2505              
alien-signals          , avoidablePropagation                                         , 0.95     ,                                                                                                 
alien-signals          , broadPropagation                                             , 0.81     ,                                                                                                 
alien-signals          , deepPropagation                                              , 0.23     ,                                                                                                 
alien-signals          , diamond                                                      , 1.08     ,                                                                                                 
alien-signals          , mux                                                          , 0.75     ,                                                                                                 
alien-signals          , repeatedObservers                                            , 0.18     ,                                                                                                 
alien-signals          , triangle                                                     , 0.33     ,                                                                                                 
alien-signals          , unstable                                                     , 0.30     ,                                                                                                 
alien-signals          , manyEffectsFromOneSource                                     , 219.40   ,                                                                                                 
alien-signals          , manySourcesIntoOneComputedEffectWithDirect                   , 135.20   ,                                                                                                 
alien-signals          , manySourcesIntoOneComputedEffect                             , 131.90   ,                                                                                                 
alien-signals          , manySourcesIntoOneDirectEffect                               , 35.12    ,                                                                                                 
alien-signals          , molBench                                                     , 0.11     ,                                                                                                 
alien-signals          , createDataSignals                                            , 5.12     ,                                                                                                 
alien-signals          , createComputations0to1                                       , 5.59     ,                                                                                                 
alien-signals          , createComputations1to1                                       , 7.14     ,                                                                                                 
alien-signals          , createComputations2to1                                       , 4.73     ,                                                                                                 
alien-signals          , createComputations4to1                                       , 4.17     ,                                                                                                 
alien-signals          , createComputations1000to1                                    , 0.04     ,                                                                                                 
alien-signals          , createComputations1to2                                       , 6.25     ,                                                                                                 
alien-signals          , createComputations1to4                                       , 5.87     ,                                                                                                 
alien-signals          , createComputations1to8                                       , 5.16     ,                                                                                                 
alien-signals          , createComputations1to1000                                    , 4.40     ,                                                                                                 
alien-signals          , updateComputations1to1                                       , 6.19     ,                                                                                                 
alien-signals          , updateComputations2to1                                       , 4.59     ,                                                                                                 
alien-signals          , updateComputations4to1                                       , 1.94     ,                                                                                                 
alien-signals          , updateComputations1000to1                                    , 0.05     ,                                                                                                 
alien-signals          , updateComputations1to2                                       , 4.62     ,                                                                                                 
alien-signals          , updateComputations1to4                                       , 2.03     ,                                                                                                 
alien-signals          , updateComputations1to1000                                    , 0.07     ,                                                                                                 
