framework              , test                                                         , time     , metrics                                                                                         
reflex                 , avoidablePropagation                                         , 0.50     ,                                                                                                 
reflex                 , broadPropagation                                             , 0.66     ,                                                                                                 
reflex                 , deepPropagation                                              , 0.12     ,                                                                                                 
reflex                 , diamond                                                      , 0.46     ,                                                                                                 
reflex                 , mux                                                          , 0.40     ,                                                                                                 
reflex                 , repeatedObservers                                            , 0.06     ,                                                                                                 
reflex                 , triangle                                                     , 0.13     ,                                                                                                 
reflex                 , unstable                                                     , 0.14     ,                                                                                                 
reflex                 , molBench                                                     , 0.09     ,                                                                                                 
reflex                 , createDataSignals                                            , 7.13     ,                                                                                                 
reflex                 , createComputations0to1                                       , 2.74     ,                                                                                                 
reflex                 , createComputations1to1                                       , 5.64     ,                                                                                                 
reflex                 , createComputations2to1                                       , 4.72     ,                                                                                                 
reflex                 , createComputations4to1                                       , 3.74     ,                                                                                                 
reflex                 , createComputations1000to1                                    , 0.02     ,                                                                                                 
reflex                 , createComputations1to2                                       , 3.13     ,                                                                                                 
reflex                 , createComputations1to4                                       , 3.14     ,                                                                                                 
reflex                 , createComputations1to8                                       , 3.63     ,                                                                                                 
reflex                 , createComputations1to1000                                    , 2.36     ,                                                                                                 
reflex                 , updateComputations1to1                                       , 3.58     ,                                                                                                 
reflex                 , updateComputations2to1                                       , 1.73     ,                                                                                                 
reflex                 , updateComputations4to1                                       , 1.21     ,                                                                                                 
reflex                 , updateComputations1000to1                                    , 0.03     ,                                                                                                 
reflex                 , updateComputations1to2                                       , 1.90     ,                                                                                                 
reflex                 , updateComputations1to4                                       , 1.05     ,                                                                                                 
reflex                 , updateComputations1to1000                                    , 0.09     ,                                                                                                 
reflex                 , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 181.89   , nodesRecomputed=2642029 nodesVisited=2642029 edgesTraversed=10568081 sinkReads=960008           
reflex                 , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 274.17   , nodesRecomputed=4736332 nodesVisited=4736332 edgesTraversed=14208887 sinkReads=900010           
reflex                 , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 171.05   , nodesRecomputed=1765496 nodesVisited=1765496 edgesTraversed=8827231 sinkReads=660022            
reflex                 , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 319.37   , nodesRecomputed=3984210 nodesVisited=3984210 edgesTraversed=15936789 sinkReads=720024           
reflex                 , 256->512x32 - fanIn 4 - layered-dag - 4 sources (layered ful , 68.17    , nodesRecomputed=249624 nodesVisited=249624 edgesTraversed=998496 sinkReads=61952                
reflex                 , 256->512x32 - fanIn 4 - layered-dag - 4 sources - warm 320 ( , 54.07    , nodesRecomputed=235200 nodesVisited=235200 edgesTraversed=940800 sinkReads=61952                
reflex                 , 256->512x32 - fanIn 8 - layered-dag - 8 sources - burst 16 - , 644.02   , nodesRecomputed=1529088 nodesVisited=1529088 edgesTraversed=12232704 sinkReads=49664            
reflex                 , 256->512x32 - fanIn 8 - diamond-mesh - 8 sources - warm 256  , 4.79     , nodesRecomputed=24576 nodesVisited=24576 edgesTraversed=196608 sinkReads=49664                  
reflex                 , 32x8 - 4 sources - pull (pure pull)                          , 1.25     , nodesRecomputed=224 nodesVisited=224 edgesTraversed=896 sinkReads=32                            
reflex                 , 32x8 - 4 sources - push (pure push)                          , 72.53    , nodesRecomputed=910133 nodesVisited=910133 edgesTraversed=3640532 sinkReads=220010              
reflex                 , 10x5 - 2 sources - read 20% (simple component)               , 142.44   , nodesRecomputed=3180010 nodesVisited=3180010 edgesTraversed=6360020 sinkReads=1200002           
reflex                 , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 105.71   , nodesRecomputed=1140004 nodesVisited=1140004 edgesTraversed=6839936 sinkReads=30002             
reflex                 , 1000x12 - 4 sources - dynamic (large web app)                , 178.47   , nodesRecomputed=1473786 nodesVisited=1473786 edgesTraversed=5891713 sinkReads=7001000           
reflex                 , 1000x5 - 25 sources (wide dense)                             , 301.64   , nodesRecomputed=735756 nodesVisited=735756 edgesTraversed=18393900 sinkReads=3001000            
reflex                 , 5x500 - 3 sources (deep)                                     , 94.86    , nodesRecomputed=1246502 nodesVisited=1246502 edgesTraversed=3739506 sinkReads=2505              
alien-signals          , avoidablePropagation                                         , 0.37     ,                                                                                                 
alien-signals          , broadPropagation                                             , 0.32     ,                                                                                                 
alien-signals          , deepPropagation                                              , 0.10     ,                                                                                                 
alien-signals          , diamond                                                      , 0.39     ,                                                                                                 
alien-signals          , mux                                                          , 0.37     ,                                                                                                 
alien-signals          , repeatedObservers                                            , 0.07     ,                                                                                                 
alien-signals          , triangle                                                     , 0.12     ,                                                                                                 
alien-signals          , unstable                                                     , 0.23     ,                                                                                                 
alien-signals          , molBench                                                     , 0.06     ,                                                                                                 
alien-signals          , createDataSignals                                            , 4.22     ,                                                                                                 
alien-signals          , createComputations0to1                                       , 4.53     ,                                                                                                 
alien-signals          , createComputations1to1                                       , 5.67     ,                                                                                                 
alien-signals          , createComputations2to1                                       , 4.27     ,                                                                                                 
alien-signals          , createComputations4to1                                       , 2.83     ,                                                                                                 
alien-signals          , createComputations1000to1                                    , 0.02     ,                                                                                                 
alien-signals          , createComputations1to2                                       , 5.05     ,                                                                                                 
alien-signals          , createComputations1to4                                       , 4.49     ,                                                                                                 
alien-signals          , createComputations1to8                                       , 5.20     ,                                                                                                 
alien-signals          , createComputations1to1000                                    , 4.40     ,                                                                                                 
alien-signals          , updateComputations1to1                                       , 3.69     ,                                                                                                 
alien-signals          , updateComputations2to1                                       , 1.53     ,                                                                                                 
alien-signals          , updateComputations4to1                                       , 0.89     ,                                                                                                 
alien-signals          , updateComputations1000to1                                    , 0.02     ,                                                                                                 
alien-signals          , updateComputations1to2                                       , 2.15     ,                                                                                                 
alien-signals          , updateComputations1to4                                       , 0.63     ,                                                                                                 
alien-signals          , updateComputations1to1000                                    , 0.04     ,                                                                                                 
alien-signals          , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 194.72   , nodesRecomputed=2642029 nodesVisited=2642029 edgesTraversed=10568081 sinkReads=960008           
alien-signals          , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 293.84   , nodesRecomputed=4736332 nodesVisited=4736332 edgesTraversed=14208887 sinkReads=900010           
alien-signals          , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 167.81   , nodesRecomputed=1765496 nodesVisited=1765496 edgesTraversed=8827231 sinkReads=660022            
alien-signals          , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 308.63   , nodesRecomputed=3984210 nodesVisited=3984210 edgesTraversed=15936789 sinkReads=720024           
alien-signals          , 256->512x32 - fanIn 4 - layered-dag - 4 sources (layered ful , 57.75    , nodesRecomputed=249624 nodesVisited=249624 edgesTraversed=998496 sinkReads=61952                
alien-signals          , 256->512x32 - fanIn 4 - layered-dag - 4 sources - warm 320 ( , 72.29    , nodesRecomputed=235200 nodesVisited=235200 edgesTraversed=940800 sinkReads=61952                
alien-signals          , 256->512x32 - fanIn 8 - layered-dag - 8 sources - burst 16 - , 601.91   , nodesRecomputed=1529088 nodesVisited=1529088 edgesTraversed=12232704 sinkReads=49664            
alien-signals          , 256->512x32 - fanIn 8 - diamond-mesh - 8 sources - warm 256  , 4.90     , nodesRecomputed=24576 nodesVisited=24576 edgesTraversed=196608 sinkReads=49664                  
alien-signals          , 32x8 - 4 sources - pull (pure pull)                          , 0.42     , nodesRecomputed=224 nodesVisited=224 edgesTraversed=896 sinkReads=32                            
alien-signals          , 32x8 - 4 sources - push (pure push)                          , 68.39    , nodesRecomputed=910133 nodesVisited=910133 edgesTraversed=3640532 sinkReads=220010              
alien-signals          , 10x5 - 2 sources - read 20% (simple component)               , 137.42   , nodesRecomputed=3180010 nodesVisited=3180010 edgesTraversed=6360020 sinkReads=1200002           
alien-signals          , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 111.77   , nodesRecomputed=1140004 nodesVisited=1140004 edgesTraversed=6839936 sinkReads=30002             
alien-signals          , 1000x12 - 4 sources - dynamic (large web app)                , 178.03   , nodesRecomputed=1473786 nodesVisited=1473786 edgesTraversed=5891713 sinkReads=7001000           
alien-signals          , 1000x5 - 25 sources (wide dense)                             , 282.20   , nodesRecomputed=735756 nodesVisited=735756 edgesTraversed=18393900 sinkReads=3001000            
alien-signals          , 5x500 - 3 sources (deep)                                     , 101.62   , nodesRecomputed=1246502 nodesVisited=1246502 edgesTraversed=3739506 sinkReads=2505              
lite-signal            , avoidablePropagation                                         , 0.63     ,                                                                                                 
lite-signal            , broadPropagation                                             , 0.38     ,                                                                                                 
lite-signal            , deepPropagation                                              , 0.15     ,                                                                                                 
lite-signal            , diamond                                                      , 0.45     ,                                                                                                 
lite-signal            , mux                                                          , 0.37     ,                                                                                                 
lite-signal            , repeatedObservers                                            , 0.09     ,                                                                                                 
lite-signal            , triangle                                                     , 0.16     ,                                                                                                 
lite-signal            , unstable                                                     , 0.10     ,                                                                                                 
lite-signal            , molBench                                                     , 0.06     ,                                                                                                 
lite-signal            , createDataSignals                                            , 13.64    ,                                                                                                 
lite-signal            , createComputations0to1                                       , 13.06    ,                                                                                                 
lite-signal            , createComputations1to1                                       , 16.70    ,                                                                                                 
lite-signal            , createComputations2to1                                       , 14.36    ,                                                                                                 
lite-signal            , createComputations4to1                                       , 8.73     ,                                                                                                 
lite-signal            , createComputations1000to1                                    , 0.08     ,                                                                                                 
lite-signal            , createComputations1to2                                       , 14.07    ,                                                                                                 
lite-signal            , createComputations1to4                                       , 13.49    ,                                                                                                 
lite-signal            , createComputations1to8                                       , 12.53    ,                                                                                                 
lite-signal            , createComputations1to1000                                    , 11.93    ,                                                                                                 
lite-signal            , updateComputations1to1                                       , 6.38     ,                                                                                                 
lite-signal            , updateComputations2to1                                       , 2.25     ,                                                                                                 
lite-signal            , updateComputations4to1                                       , 1.17     ,                                                                                                 
lite-signal            , updateComputations1000to1                                    , 0.05     ,                                                                                                 
lite-signal            , updateComputations1to2                                       , 2.34     ,                                                                                                 
lite-signal            , updateComputations1to4                                       , 1.20     ,                                                                                                 
lite-signal            , updateComputations1to1000                                    , 0.18     ,                                                                                                 
lite-signal            , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 295.02   , nodesRecomputed=2642029 nodesVisited=2642029 edgesTraversed=10568081 sinkReads=960008           
lite-signal            , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 467.71   , nodesRecomputed=4736332 nodesVisited=4736332 edgesTraversed=14208887 sinkReads=900010           
lite-signal            , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 233.71   , nodesRecomputed=1765496 nodesVisited=1765496 edgesTraversed=8827231 sinkReads=660022            
lite-signal            , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 456.25   , nodesRecomputed=3984210 nodesVisited=3984210 edgesTraversed=15936789 sinkReads=720024           
lite-signal            , 256->512x32 - fanIn 4 - layered-dag - 4 sources (layered ful , 101.33   , nodesRecomputed=249624 nodesVisited=249624 edgesTraversed=998496 sinkReads=61952                
